Output Steer,Human Steer,Output Motor,Human Motor,Loss
7.896266877651214600e-02,-4.209209233522415161e-03,5.591309666633605957e-01,5.695706605911254883e-01,3.524208441376686096e-03
1.007771342992782593e-01,-7.423283066600561142e-03,5.595048069953918457e-01,5.673798322677612305e-01,5.916022229939699173e-03
8.729360699653625488e-01,8.380330801010131836e-01,5.588063001632690430e-01,5.905525088310241699e-01,1.132489414885640144e-03
1.534212529659271240e-01,1.957826316356658936e-01,5.782713890075683594e-01,6.146849393844604492e-01,1.643814146518707275e-03
3.290886878967285156e-01,3.826953470706939697e-01,5.888291001319885254e-01,5.619838833808898926e-01,1.828402979299426079e-03
3.389484286308288574e-01,3.878684937953948975e-01,6.034039258956909180e-01,5.476565361022949219e-01,3.127052914351224899e-03
5.719758868217468262e-01,4.851272702217102051e-01,5.682879090309143066e-01,5.437484979629516602e-01,4.103895276784896851e-03
8.801426887512207031e-01,9.977739453315734863e-01,5.774847269058227539e-01,5.910959839820861816e-01,7.048469036817550659e-03
8.769470453262329102e-01,9.751268625259399414e-01,5.728024244308471680e-01,5.959596037864685059e-01,5.151818506419658661e-03
5.261105298995971680e-01,5.673545598983764648e-01,5.766100287437438965e-01,5.952898859977722168e-01,1.555133843794465065e-03
5.080043673515319824e-01,2.346567362546920776e-01,6.386039853096008301e-01,5.555555224418640137e-01,4.083583503961563110e-02
5.452075004577636719e-01,4.278176724910736084e-01,5.566800236701965332e-01,5.666040778160095215e-01,6.954087875783443451e-03
8.981763124465942383e-01,9.865301847457885742e-01,6.003105044364929199e-01,6.060605645179748535e-01,4.057155456393957138e-03
5.217424631118774414e-01,6.707671880722045898e-01,5.884652137756347656e-01,6.084151268005371094e-01,1.135662011802196503e-02
1.530026942491531372e-01,1.414431929588317871e-01,5.805562138557434082e-01,5.518514513969421387e-01,5.158524727448821068e-04
1.442127674818038940e-01,1.122909132391214371e-02,5.608445405960083008e-01,5.783000588417053223e-01,9.091038256883621216e-03
5.754690170288085938e-01,5.811601281166076660e-01,5.737942457199096680e-01,5.454545617103576660e-01,4.475212772376835346e-04
7.852677106857299805e-01,9.819905161857604980e-01,5.751905441284179688e-01,5.549868345260620117e-01,1.958177797496318817e-02
6.501357257366180420e-02,-7.007773034274578094e-03,5.793332457542419434e-01,5.834676623344421387e-01,2.638309961184859276e-03
1.458990871906280518e-01,4.545684531331062317e-02,5.541358590126037598e-01,5.572797656059265137e-01,5.090316757559776306e-03
2.099578380584716797e-01,-8.633039891719818115e-03,5.613920688629150391e-01,5.457909107208251953e-01,2.404690347611904144e-02
9.636255502700805664e-01,9.595959782600402832e-01,5.576172471046447754e-01,5.454545617103576660e-01,8.940588304540142417e-05
9.091483056545257568e-02,-7.799377199262380600e-03,5.910054445266723633e-01,5.929555296897888184e-01,4.909189883619546890e-03
4.903091788291931152e-01,4.405610561370849609e-01,5.710577368736267090e-01,5.474747419357299805e-01,1.644384348765015602e-03
5.245423316955566406e-02,-8.111091330647468567e-03,5.799720287322998047e-01,5.844928622245788574e-01,1.862461096607148647e-03
5.599743872880935669e-02,5.801948904991149902e-02,5.736348628997802734e-01,5.487192273139953613e-01,4.159499076195061207e-04
4.948302805423736572e-01,4.795048236846923828e-01,5.837957262992858887e-01,5.496827960014343262e-01,7.876604795455932617e-04
1.064576506614685059e-01,7.883029058575630188e-03,5.960285067558288574e-01,5.461918711662292480e-01,6.148432847112417221e-03
4.797641336917877197e-01,4.724829196929931641e-01,5.980838537216186523e-01,6.063969135284423828e-01,2.714839356485754251e-04
5.860990285873413086e-01,6.242192387580871582e-01,5.893711447715759277e-01,5.571444630622863770e-01,1.400969689711928368e-03
4.004456102848052979e-01,4.193514883518218994e-01,5.786898136138916016e-01,5.555555224418640137e-01,5.672253901138901711e-04
7.440026998519897461e-01,7.235662937164306641e-01,5.536181330680847168e-01,5.461484789848327637e-01,2.565795439295470715e-04
1.068864241242408752e-01,-6.032983772456645966e-03,5.898950099945068359e-01,5.571191906929016113e-01,6.924943532794713974e-03
7.983387708663940430e-01,9.555743932723999023e-01,5.880092382431030273e-01,5.705323815345764160e-01,1.268593687564134598e-02
4.822719991207122803e-01,5.031058788299560547e-01,5.869597196578979492e-01,5.609887838363647461e-01,5.830805748701095581e-04
4.291339218616485596e-02,3.206296637654304504e-02,5.633763074874877930e-01,5.416040420532226562e-01,8.090392802841961384e-04
7.809619903564453125e-01,7.589527964591979980e-01,5.548208951950073242e-01,5.532151460647583008e-01,4.236317763570696115e-04
9.914982914924621582e-01,9.970813989639282227e-01,5.449364185333251953e-01,5.454545617103576660e-01,2.403641155979130417e-05
5.449309349060058594e-01,6.005962491035461426e-01,5.720815658569335938e-01,5.933919548988342285e-01,2.021707128733396530e-03
7.335687875747680664e-01,8.436590433120727539e-01,5.738877058029174805e-01,5.353536009788513184e-01,6.815346889197826385e-03
3.317231237888336182e-01,2.772034108638763428e-01,5.683516263961791992e-01,5.479615926742553711e-01,1.746497466228902340e-03
9.104493856430053711e-01,9.984846115112304688e-01,5.654436945915222168e-01,5.478979349136352539e-01,4.060961306095123291e-03
4.313484132289886475e-01,5.679876804351806641e-01,5.755153894424438477e-01,5.454545617103576660e-01,1.013352721929550171e-02
2.334554195404052734e-01,-8.686994202435016632e-03,5.798996686935424805e-01,5.554494857788085938e-01,2.962148748338222504e-02
5.508949756622314453e-01,5.504567027091979980e-01,5.796585083007812500e-01,6.082909107208251953e-01,4.194173961877822876e-04
4.693222939968109131e-01,4.003240168094635010e-01,5.839039683341979980e-01,6.136070489883422852e-01,3.094244981184601784e-03
8.839398622512817383e-01,9.054799079895019531e-01,5.447787046432495117e-01,5.545868873596191406e-01,3.642673545982688665e-04
9.159426689147949219e-01,9.968581199645996094e-01,5.565777420997619629e-01,5.852019190788269043e-01,3.714083228260278702e-03
7.404420375823974609e-01,8.097084760665893555e-01,5.707463622093200684e-01,5.353536009788513184e-01,4.502663854509592056e-03
1.049095034599304199e+00,9.687563180923461914e-01,5.487049818038940430e-01,5.454545617103576660e-01,3.239239333197474480e-03
7.054647803306579590e-01,7.509700059890747070e-01,5.545281171798706055e-01,5.473343729972839355e-01,1.076293294318020344e-03
5.455544590950012207e-01,5.156621932983398438e-01,5.871011614799499512e-01,5.656566023826599121e-01,7.249352056533098221e-04
9.401515126228332520e-02,1.228956319391727448e-02,5.987304449081420898e-01,6.075464487075805664e-01,3.421244444325566292e-03
1.772156059741973877e-01,9.982503950595855713e-02,5.673471689224243164e-01,5.454545617103576660e-01,3.308125538751482964e-03
9.705305099487304688e-01,9.737232327461242676e-01,5.640550851821899414e-01,5.555555224418640137e-01,9.396376844961196184e-05
4.290638491511344910e-02,2.431954257190227509e-02,5.591412782669067383e-01,5.752383470535278320e-01,4.561315872706472874e-04
2.143678665161132812e-01,2.148014605045318604e-01,6.051765680313110352e-01,6.100707054138183594e-01,2.161233220249414444e-03
4.855611920356750488e-01,9.990132451057434082e-01,5.684226751327514648e-01,5.568464398384094238e-01,1.319371163845062256e-01
5.088667869567871094e-01,5.885177254676818848e-01,6.010776758193969727e-01,6.085848212242126465e-01,3.221987979486584663e-03
3.150567412376403809e-01,2.217513322830200195e-01,5.790947675704956055e-01,5.555555224418640137e-01,4.637573380023241043e-03
9.078509211540222168e-01,9.972094297409057617e-01,5.662367343902587891e-01,5.878646969795227051e-01,4.384383559226989746e-03
5.502266287803649902e-01,6.574867963790893555e-01,5.937598347663879395e-01,6.042484641075134277e-01,6.126650609076023102e-03
9.600341916084289551e-01,9.976285099983215332e-01,5.703492164611816406e-01,5.837292671203613281e-01,8.184229955077171326e-04
3.646540939807891846e-01,3.059379458427429199e-01,6.040042638778686523e-01,5.763696432113647461e-01,2.190943807363510132e-03
5.759485810995101929e-02,3.803179413080215454e-02,5.621145367622375488e-01,5.549362897872924805e-01,2.285910595674067736e-04
1.119360327720642090e-01,0.000000000000000000e+00,5.814259648323059082e-01,5.638040304183959961e-01,6.428110413253307343e-03
2.621746435761451721e-02,-2.934456570073962212e-03,5.590565800666809082e-01,5.418938994407653809e-01,5.869886372238397598e-04
6.640651822090148926e-02,3.882811591029167175e-02,5.729220509529113770e-01,5.555555224418640137e-01,5.358513444662094116e-04
8.409072160720825195e-01,7.538511157035827637e-01,5.437059998512268066e-01,5.454545617103576660e-01,4.188884049654006958e-03
7.748659253120422363e-01,8.454437255859375000e-01,5.487825870513916016e-01,5.454545617103576660e-01,2.717860974371433258e-03
9.897487759590148926e-01,9.974091649055480957e-01,5.455836653709411621e-01,5.454545617103576660e-01,3.953766281483694911e-05
1.787768602371215820e-01,2.414412330836057663e-03,5.714447498321533203e-01,5.463091135025024414e-01,1.588271930813789368e-02
8.888394236564636230e-01,8.058800697326660156e-01,5.801668167114257812e-01,6.078636646270751953e-01,3.922990523278713226e-03
7.080142945051193237e-02,1.003482490777969360e-01,5.869907140731811523e-01,5.975636243820190430e-01,1.139593310654163361e-03
9.278014302253723145e-01,9.955636262893676758e-01,5.811255574226379395e-01,5.750626325607299805e-01,2.636302029713988304e-03
9.099944233894348145e-01,9.650743603706359863e-01,5.845978856086730957e-01,6.054666638374328613e-01,1.750204130075871944e-03
3.786330223083496094e-01,1.873586773872375488e-01,5.921181440353393555e-01,5.555555224418640137e-01,1.896336674690246582e-02
4.952460825443267822e-01,3.860388100147247314e-01,5.833594799041748047e-01,5.594595670700073242e-01,6.281089968979358673e-03
8.986605703830718994e-02,-7.668896578252315521e-03,5.898517966270446777e-01,5.682070851325988770e-01,5.091068334877490997e-03
8.920704722404479980e-01,9.877924919128417969e-01,5.525305271148681641e-01,5.450979471206665039e-01,4.654298536479473114e-03
3.259268105030059814e-01,3.436941504478454590e-01,5.913709402084350586e-01,5.977353453636169434e-01,7.343799807131290436e-04
1.173521056771278381e-01,2.780489996075630188e-02,5.773020982742309570e-01,5.496727228164672852e-01,4.436186514794826508e-03
4.086649417877197266e-01,4.037140011787414551e-01,5.716252923011779785e-01,5.551131367683410645e-01,1.949421857716515660e-04
2.481947243213653564e-01,2.382967025041580200e-01,5.933820009231567383e-01,5.555555224418640137e-01,7.667562458664178848e-04
2.614293694496154785e-01,2.383214682340621948e-01,5.587059259414672852e-01,5.454545617103576660e-01,5.941386334598064423e-04
5.221670269966125488e-01,4.881598353385925293e-01,5.810307264328002930e-01,5.967091321945190430e-01,7.097310153767466545e-04
9.096153378486633301e-01,9.960996508598327637e-01,5.526883006095886230e-01,5.454545617103576660e-01,3.833810565993189812e-03
7.513458728790283203e-01,6.106682419776916504e-01,5.474354624748229980e-01,5.650060176849365234e-01,1.040323264896869659e-02
2.084035575389862061e-01,2.511164844036102295e-01,5.837545394897460938e-01,5.474747419357299805e-01,1.628712401725351810e-03
2.353158742189407349e-01,4.187392592430114746e-01,5.831403136253356934e-01,5.553959608078002930e-01,2.029176056385040283e-02
5.635008811950683594e-01,6.535495519638061523e-01,5.658432245254516602e-01,5.565060377120971680e-01,4.165944177657365799e-03
7.346581816673278809e-01,7.322508096694946289e-01,5.700824856758117676e-01,5.532201528549194336e-01,7.053004810586571693e-04
8.474326133728027344e-01,8.842341303825378418e-01,5.616497397422790527e-01,5.454545617103576660e-01,8.825498516671359539e-04
