Output Steer,Human Steer,Output Motor,Human Motor,Loss
6.220410391688346863e-02,1.566551774740219116e-01,5.398555397987365723e-01,5.464646220207214355e-01,4.514989908784627914e-03
7.433031201362609863e-01,7.111150026321411133e-01,6.016899943351745605e-01,5.757575631141662598e-01,9.091710671782493591e-04
7.836619019508361816e-02,1.994344964623451233e-02,5.589038133621215820e-01,5.494322776794433594e-01,1.771027804352343082e-03
7.193924188613891602e-01,8.509084582328796387e-01,5.966066122055053711e-01,6.101011037826538086e-01,8.754189126193523407e-03
5.785260796546936035e-01,5.850006341934204102e-01,5.842767357826232910e-01,5.892677307128906250e-01,3.945777134504169226e-04
3.945592343807220459e-01,6.041046380996704102e-01,5.825203657150268555e-01,6.109777688980102539e-01,2.269061096012592316e-02
2.369810342788696289e-01,2.748258709907531738e-01,5.529264211654663086e-01,5.654191970825195312e-01,9.243072709068655968e-04
2.236644327640533447e-01,1.804768741130828857e-01,5.690832138061523438e-01,5.555555224418640137e-01,1.032780855894088745e-03
5.781027078628540039e-01,6.574867963790893555e-01,5.903114080429077148e-01,6.042484641075134277e-01,3.537358017638325691e-03
8.666157722473144531e-01,9.943637847900390625e-01,5.493052005767822266e-01,5.555555224418640137e-01,8.218405768275260925e-03
2.911162972450256348e-01,3.319614529609680176e-01,5.753183364868164062e-01,5.979596376419067383e-01,1.779993297532200813e-03
7.253794074058532715e-01,7.322613000869750977e-01,5.618652701377868652e-01,5.535495877265930176e-01,8.039669046411290765e-05
2.442831732332706451e-02,-3.225800814107060432e-03,5.628702044486999512e-01,5.568990111351013184e-01,4.276851250324398279e-04
6.717734038829803467e-02,-9.315626695752143860e-03,5.662442445755004883e-01,5.998313426971435547e-01,3.502404317259788513e-03
7.344843745231628418e-01,8.380330801010131836e-01,5.629240870475769043e-01,5.905525088310241699e-01,5.756287835538387299e-03
7.585508227348327637e-01,8.973171114921569824e-01,5.686171650886535645e-01,5.367141962051391602e-01,1.020671892911195755e-02
